#delimieter: ,
#columns:type,person1,person2,forum,forum_event,publication,topic,date,lat,lon
#types:STRING,UINT,UINT,UINT,UINT,UINT,UINT,USDATE,DOUBLE,DOUBLE
Publication,,,,,102583151124020340,,4/1/2013,,
Publication,,,,,783723036211513225,,1/1/2015,,
Publication,,,,,340327232413453344,,7/1/2015,,
Publication,,,,,1591151668001439363,,11/1/2015,,
Publication,,,,,751112542926151316,,4/1/2016,,
Publication,,,,,540355755919823919,,11/9/2015,,
Publication,,,,,128760121384523067,,2/16/2016,,
Publication,,,,,87053958105032626,,2/5/2014,,
Publication,,,,,353561718150262531,,1/1/2016,,
Publication,,,,,279093077013200911,,6/1/2013,,
Publication,,,,,1535560814470027553,,8/1/2016,,
Publication,,,,,41837343332046478,,10/1/2014,,
Publication,,,,,300559162266445330,,7/1/2016,,
Publication,,,,,1207612033585320625,,7/1/2013,,
Publication,,,,,1453261312384284172,,5/10/2016,,
Publication,,,,,622293910371914414,,7/6/2015,,
Publication,,,,,1305145439855521555,,5/18/2016,,
Publication,,,,,336942091506354249,,6/1/2016,,
Publication,,,,,476478857527116646,,9/1/2016,,
Publication,,,,,732672612144374614,,1/1/2016,,
Publication,,,,,964200931450858755,,7/12/2016,,
Publication,,,,,525224971033019325,,1/1/2016,,
Publication,,,,,330281200641323539,,9/1/2016,,
Publication,,,,,1442058041523586421,,8/30/2016,,
Publication,,,,,1093885913258710175,,6/1/2015,,
Publication,,,,,970329701315593419,,9/1/2016,,
Publication,,,,,963845330216661966,,11/28/2016,,
Publication,,,,,1032001128975429090,,12/1/2016,,
Publication,,,,,1446316445115552334,,2/1/2017,,
Publication,,,,,709202359725199045,,1/1/2016,,
Publication,,,,,882398257230700413,,11/1/2016,,
Publication,,,,,1427372245064556435,,2/1/2017,,
Publication,,,,,345819465029706780,,3/1/2017,,
Publication,,,,,1305027424638505316,,1/1/2015,,
Publication,,,,,775644723160804380,,1/1/2016,,
Publication,,,,,926234417542025562,,3/1/2017,,
Publication,,,,,251291376460643760,,1/1/2017,,
Publication,,,,,383905560617065500,,10/15/2017,,
Publication,,,,,108501583661934294,,1/1/2013,,
Publication,,,,,1437703964291052514,,7/1/2017,,
Publication,,,,,331512399306794233,,1/1/2017,,
Publication,,,,,965321186100648179,,6/1/2017,,
Publication,,,,,311035269430539450,,8/1/2017,,
Publication,,,,,1481313555123445551,,1/1/2017,,
Publication,,,,,511206332618541872,,7/1/2017,,
Publication,,,,,596314482775254414,,3/4/2018,,
Publication,,,,,895058613131557553,,8/1/2017,,
Publication,,,,,1018031155313349227,,1/1/2017,,
Publication,,,,,1526233430274261327,,9/1/2017,,
Publication,,,,,35560440934109551,,9/1/2016,,
Publication,,,,,945272392604235968,,8/22/2017,,
Publication,,,,,253322665202386633,,11/1/2017,,
Publication,,,,,1184152153105251847,,5/1/2018,,
Publication,,,,,334816313325323280,,9/1/2017,,
