HasTopic,,,,447169043921403064,,29171,,,
HasOrg,,,,,1433303251800176474,2030894,,,
Sale,477384404927196020,1128501731262832684,,,,271997,09/30/2018,,
HasTopic,,,,581543512052485139,,505619,,,
HasTopic,,,,618434247743641149,,60,,,
HasTopic,,,,803952155714850701,,557887,,,
HasTopic,,,,78678286442461987,,831691,,,
Author,101810442957214781,,,,1004346153600881042,,,,
Sale,1597454052092354280,961135479935321085,,,,1149078,8/1/2018,,
HasOrg,,,,,1004346153600881042,5018694,,,
Sale,301710390995444087,1312322776399358210,,,,379860,10/12/2018,,
HasTopic,,,,,1004346153600881042,29718382,,,
HasTopic,,,,,1433303251800176474,620463,,,
HasTopic,,,,1651365355351122204,,44311,,,
Author,1443919105364146460,,,1424263331858043042,,,,,
Sale,895197896920634500,1508332501512270227,,,,487,7/31/2018,,
HasTopic,,,,321724159614056152,,158668,,,
Includes,,,1427292001647224242,240337224527030225,,,,,
HasTopic,,,,1184855350262395542,,223155,,,
Publication,,,,,336942091506354249,,6/1/2016,,
Publication,,,,,476478857527116646,,9/1/2016,,
Topic,,,,,,154709,,,
Publication,,,,,732672612144374614,,1/1/2016,,
Publication,,,,,964200931450858755,,7/12/2016,,
Publication,,,,,525224971033019325,,1/1/2016,,
Publication,,,,,330281200641323539,,9/1/2016,,
Person,1443434356636157084,,,,,,,,
Includes,,,1615340315424362057,1184855350262395542,,,,,
HasTopic,,,,1532662490035322233,,1337691,,,
Author,1352636429150180228,,,186108460103013588,,,,,
HasTopic,,,,393285992310638641,,974850,,,
Includes,,,1615340315424362057,116892402526543412,,,,,
HasTopic,,,,128423416112315798,,361,,,
HasTopic,,,,541215404780905313,,13977,,,
HasTopic,,,,1512214307542520410,,699385,,,
Sale,1035098046740791143,352033450190732475,,,,,8/25/2018,,
Includes,,,1615340315424362057,420762134340393550,,,,,
Author,556320934631523806,,,541215404780905313,,,,,
HasTopic,,,1427292001647224242,,,25395,,,
HasTopic,,,,1424660009578332566,,191290,,,
Sale,351354309273100074,1073324208204442390,,,,206021,8/7/2018,,
Sale,1025135622623992536,1001287904525368324,,,,,10/2/2018,,
Author,12321118467056216,,,1512214307542520410,,,,,
HasTopic,,,,932362105613871012,,60,,,
HasOrg,,,,,732672612144374614,34433,,,
HasTopic,,,,803952155714850701,,5,,,
HasTopic,,,,1220295546212024391,,18031504,,,
HasTopic,,,,91431002216341149,,73843,,,
Author,437573095319558705,,,447169043921403064,,,,,
HasTopic,,,,1424263331858043042,,2566598,,,
Includes,,,15133734353741126,1285128710332882742,,,,,
HasTopic,,,,1513662032452523252,,466439,,,
HasTopic,,,,,300559162266445330,154709,,,
Includes,,,1314315120197156050,393285992310638641,,,,,
